ID,Card type,Situation text,Situation illustration,Swipe left text,Swipe left effect,Swipe right text,Swipe right effect,Notes,
34,Regular draw,Martha asks how long the new feature will take. Engineering says: “Somewhere between two weeks and the heat death of the universe.,A developer (Josh) staring thoughtfully at a calendar that stretches into outer space.,Put two weeks in the roadmap.,"Deadlines +20, Team ?20",I'll put ‘Q4-ish’,"Deadlines ?10, Team +10",Deadlines,
35,Regular draw,Alan's spiritual guru tells him that green is unlucky. A green purge is declared.,Alan with a crystal ball with an ominous green cloud in the middle,Hire a rival spirtual guru to defend green,"Budget -20, quality +10, then regular draw",All green must go,"deadlines -10, quality -10, then regular draw",Budget,
36,Regular draw,"This month's Azure bill is roughly equivalent to the GDP of a small island. Engineering says: ""Yeah… we've been meaning to look at that.""",A terrified Vicki looking at a gigantic calculator displaying £££££££.,Optimise everything immediatelyt.,"Budget +20, Deadlines ?20",It's probably fine.,"Budget ?20, Deadlines +10",Budget,
37,Regular draw,"Your new AI feature is a huge success. Unfortunately, one enthusiastic student has asked it 84,000 questions about grounded theory.",Rajeh happily chatting while an enormous Sage invoice rolls out of the computer.,Limit the questions.,"Budget +20, Quality ?10",LET THEM RESEARCH.,"Budget ?20, Quality +10",Budget,
38,Regular draw,"Engineering says migrating the product will save Sage millions over the next decade.

It will only cost millions this decade.",Two enormous piles of money labelled NOW and LATER.,Invest in the future,"Budget ?20, Quality +20",The future can pay for itself.,"Budget +20, Quality ?10",Budget,
39,Regular draw,"A senior engineer has decided that the entire project needs rewriting. We only asked them to add a field to a form. 

They say it will 'only' take 6 months. ",A stamp on a document that says 'RE-DO',"Listen to them - it's critical to keep every engineer happy, all the time","Quality +20, Deadlines -20","Ignore them, they're a perfectionist",Deadlines +10,Budget,
40,Card type,,,,,,,,
41,Card type,,,,,,,,
42,Card type,,,,,,,,
43,Card type,,,,,,,,
44,Card type,,,,,,,,
45,Card type,,,,,,,,
46,Card type,,,,,,,,
47,Card type,,,,,,,,
48,Card type,,,,,,,,
49,Card type,,,,,,,,
50,Card type,,,,,,,,
51,Regular draw,Andy returns from a conference with 'AI' tattooed on his forehead. Everything must be AI by Friday.,Andy with the letters AI tattooed on his forehead,Rename the search box 'AI Search',"Quality -10, deadlines +10, then regular draw",Build an actual model,"Budget -20, deadlines -10, team +10, then regular draw",Quality,
52,Regular draw,A user has found the button that deletes everything. They have pressed it. Twice.,"A large, scary looking red button with 'Delete' written on it",Restore the backup and say nothing,"Quality -10, budget -10, then regular draw",Publish a heartfelt post-mortem,"Quality +10, team -10, deadlines -10, then regular draw",Quality,
53,Regular draw,Legal insists every screen carries a 400-word disclaimer. In Latin.,A parchment scroll covered in tiny Latin text,Comply. Users love Latin.,"Quality -20, deadlines +10, then regular draw",Hide it behind a tiny (i) icon,"Quality +10, budget -10, then regular draw",Quality,
54,Regular draw,Design has rebranded. Again. The logo is now a single beige dot.,"A single beige dot on a dark canvas, framed in gold",Ship the dot,"Quality -10, team +10, deadlines +10, then regular draw",Demand the old logo back,"Team -20, deadlines -10, then regular draw",Team,
55,Regular draw,An intern has replaced the entire test suite with one test called 'works'. It passes.,A green tick wearing a party hat,Merge it. Green is green.,"Quality -20, deadlines +20, then regular draw",Rewrite the tests over a long weekend,"Team -10, quality +10, deadlines -10, then regular draw",Quality,
56,Regular draw,Sales have sold a feature that does not exist to a customer that does not exist yet.,A handshake where one of the hands is transparent,Build it before the contract arrives,"Deadlines -20, budget +10, team -10, then regular draw",Explain the word 'roadmap' to Sales,"Team +10, budget -10, then regular draw",Deadlines,
58,Regular draw,Marketing has put the launch date on a billboard. You have not agreed a launch date.,A billboard showing a giant calendar page,Work weekends until the billboard is true,"Deadlines +20, team -20, then regular draw",Hire a crane and paint over the date,"Budget -20, deadlines -10, then regular draw",Deadlines,
59,Regular draw,Finance has discovered the coffee machine costs more per month than the database.,A coffee cup wearing a small gold crown,Remove the coffee machine,"Budget +20, team -20, then regular draw",Downgrade the database instead,"Budget +10, quality -20, then regular draw",Budget,
60,Regular draw,A competitor has launched an identical product with a nicer font.,"Two identical boxes, one wearing a bow tie",Copy the font,"Quality +10, budget -10, then regular draw",Declare fonts a distraction and ship features,"Deadlines +10, quality -10, then regular draw",Quality,
