ID,Card type,Situation text,Situation illustration,Swipe left text,Swipe left effect,Swipe right text,Swipe right effect,Notes,
30,Regular draw,An executive has promised a live demo for Sara Miller McCune  tomorrow. This is the first anyone on the product team has heard about it.,Calendar saying TOMORROW with panicking hysterical PM & Dev,It's called a prototype now.,"Deadlines +20, Quality ?20",Explain the concept of calendars.,"Deadlines ?10, Team +10",Deadlines,
31,Regular draw,"Andy has requested ""one tiny change"". The attached requirements document is 38 pages",Enormous scroll emerging from an email labelled Quick one!.,Of course. Tiny,"Deadlines ?20, Team ?10",Add it to the backlog.,"Deadlines +10, Quality +10",Deadlines,
32,Regular draw,Your release depends on the Infra Team. Their Jira ticket hasn't moved since February. They have reacted to your message with ??.,Ancient dusty Jira ticket covered in cobwebs.,Wait patiently.,"Deadlines ?20, Team +10",Escalate until someone cries.,"Deadlines +20, Team ?10",Deadlines,
33,Regular draw,"It's 4:47pm on Friday. Everything has passed QA. Someone whispers: ""We could just deploy it now.""",Giant red DEPLOY button. Clock: 16:47.,What's the worst that could happen?,"Deadlines +20, Quality ?20",MONDAY.,"Deadlines ?10, Quality +20",Deadlines,
34,Regular draw,Martha asks how long the new feature will take. Engineering says: “Somewhere between two weeks and the heat death of the universe.,A developer (Josh) staring thoughtfully at a calendar that stretches into outer space.,Put two weeks in the roadmap.,"Deadlines +20, Team ?20",I'll put ‘Q4-ish’,"Deadlines ?10, Team +10",Deadlines,
35,Regular draw,The CEO's spiritual guru tells them that green is unlucky. A green purge is declared.,A crystal ball with an ominous green cloud in the middle,Hire a rival spirtual guru to defend green,"Budget -20, quality +10, then regular draw",All green must go,"deadlines -10, quality -10, then regular draw",Budget,
36,Regular draw,"This month's Azure bill is roughly equivalent to the GDP of a small island. Engineering says: ""Yeah… we've been meaning to look at that.""",A terrified PM looking at a gigantic calculator displaying £££££££.,Optimise everything immediatelyt.,"Budget +20, Deadlines ?20",It's probably fine.,"Budget ?20, Deadlines +10",Budget,
37,Card type,,,,,,,Budget,
38,Card type,,,,,,,Budget,
39,Card type,,,,,,,Budget,
40,Card type,,,,,,,Budget,
41,Card type,,,,,,,,
42,Card type,,,,,,,,
43,Card type,,,,,,,,
44,Card type,,,,,,,,
45,Card type,,,,,,,,
46,Card type,,,,,,,,
47,Card type,,,,,,,,
48,Card type,,,,,,,,
49,Card type,,,,,,,,
50,Card type,,,,,,,,
